id_empleado;fecha_desde;fecha_hasta;id_evento;cantidad;borrable;afecta_vac
1;2003-09-08;2003-09-08;11;1;0;1
3;2003-09-23;2003-09-25;11;3;0;1
5;2003-10-13;2003-10-17;11;5;0;1
2;2003-11-24;2003-11-24;11;1;0;1
3;2003-11-27;2003-11-28;11;2;0;1
1;2003-11-29;2003-11-29;11;1;0;1
2;2003-12-15;2003-12-21;11;7;0;1
3;2003-12-17;2003-12-17;11;1;0;1
1;2003-12-29;2004-01-18;11;21;0;1
5;2004-01-05;2004-01-16;11;12;0;1
1;2004-01-31;2004-01-31;11;1;0;1
3;2004-02-03;2004-02-15;11;13;0;1
2;2004-03-04;2004-03-10;11;7;0;1
3;2004-03-10;2004-03-12;11;3;0;1
1;2004-03-18;2004-03-28;11;11;0;1
2;2004-05-19;2004-06-01;11;14;0;1
3;2004-06-23;2004-06-23;11;1;0;1
3;2004-07-22;2004-07-24;11;3;0;1
3;2004-08-25;2004-08-25;11;1;0;1
5;2004-09-02;2004-09-08;11;7;0;1
3;2004-10-07;2004-10-07;11;1;0;1
3;2004-11-08;2004-11-08;11;1;0;1
2;2004-11-29;2004-11-29;11;1;0;1
1;2004-12-06;2004-12-13;11;8;0;1
2;2004-12-13;2004-12-13;11;1;0;1
5;2004-12-27;2004-12-27;11;1;0;1
2;2005-01-22;2005-01-22;11;1;0;1
3;2005-01-24;2005-02-06;11;14;0;1
5;2005-02-07;2005-02-13;11;7;0;1
1;2005-02-22;2005-02-23;11;2;0;1
2;2005-05-17;2005-05-23;11;7;0;1
3;2005-05-26;2005-05-31;11;6;0;1
1;2005-06-01;2005-06-22;11;22;0;1
5;2005-06-13;2005-06-18;11;6;0;1
1;2005-06-23;2005-06-30;11;8;0;1
1;2005-07-01;2005-07-21;11;21;0;1
5;2005-07-11;2005-07-24;11;14;0;1
2;2005-07-30;2005-07-30;11;1;0;1
2;2005-09-12;2005-09-12;11;1;0;1
3;2005-09-14;2005-09-15;11;2;0;1
1;2005-10-04;2005-10-04;11;1;0;1
2;2005-11-07;2005-11-14;11;8;0;1
1;2005-12-12;2005-12-15;11;4;0;1
3;2005-12-26;2006-01-09;11;15;0;1
5;2006-01-09;2006-01-15;11;7;0;1
2;2006-02-24;2006-02-26;11;3;0;1
2;2006-03-15;2006-03-19;11;5;0;1
3;2006-04-17;2006-04-17;11;1;0;1
3;2006-04-27;2006-04-27;7;1;0;0
3;2006-05-20;2006-05-20;11;1;0;1
3;2006-06-05;2006-06-05;11;1;0;1
2;2006-06-07;2006-06-07;11;1;0;1
5;2006-07-10;2006-07-23;11;14;0;1
2;2006-07-20;2006-07-24;11;5;0;1
3;2006-07-24;2006-07-25;11;2;0;1
1;2006-08-02;2006-08-03;11;2;0;1
8;2006-08-21;2006-08-21;11;1;0;1
3;2006-09-07;2006-09-08;11;2;0;1
2;2006-09-11;2006-09-11;11;1;0;1
2;2006-10-09;2006-10-16;11;8;0;1
1;2006-10-16;2006-10-16;11;1;0;1
3;2006-11-06;2006-11-08;11;3;0;1
2;2006-12-02;2006-12-07;11;6;0;1
3;2006-12-19;2006-12-20;11;2;0;1
3;2007-01-08;2007-01-21;11;14;0;1
2;2007-01-26;2007-01-31;11;6;0;1
5;2007-02-05;2007-02-18;11;14;0;1
2;2007-03-05;2007-03-05;11;1;0;1
3;2007-03-12;2007-03-12;11;1;0;1
8;2007-04-10;2007-04-15;11;6;0;1
3;2007-04-13;2007-04-13;11;1;0;1
2;2007-04-14;2007-04-18;11;5;0;1
1;2007-04-30;2007-04-30;11;1;0;1
7;2007-05-07;2007-05-13;11;7;0;1
1;2007-05-14;2007-05-15;11;2;0;1
2;2007-05-26;2007-05-29;11;4;0;1
1;2007-06-06;2007-06-21;11;16;0;1
2;2007-06-07;2007-06-10;11;4;0;1
5;2007-06-21;2007-06-26;11;6;0;1
7;2007-07-12;2007-07-12;11;1;0;1
3;2007-07-23;2007-07-23;11;1;0;1
3;2007-08-03;2007-08-03;11;1;0;1
8;2007-08-09;2007-08-18;2;10;0;0
2;2007-09-06;2007-09-09;11;4;0;1
7;2007-09-10;2007-09-10;11;1;0;1
3;2007-09-20;2007-09-20;11;1;0;1
1;2007-09-24;2007-09-30;11;7;0;1
8;2007-11-12;2007-11-18;11;7;0;1
1;2007-11-16;2007-11-17;11;2;0;1
2;2007-11-26;2007-11-26;11;1;0;1
2;2007-12-01;2007-12-08;11;8;0;1
3;2007-12-08;2007-12-08;11;1;0;1
1;2007-12-24;2007-12-24;11;1;0;1
2;2007-12-29;2007-12-29;11;1;0;1
2;2008-01-02;2008-01-09;11;8;0;1
5;2008-01-02;2008-01-13;11;12;0;1
5;2008-01-14;2008-01-15;11;2;0;1
3;2008-01-18;2008-02-03;11;17;0;1
1;2008-02-04;2008-02-04;11;1;0;1
2;2008-03-03;2008-03-03;11;1;0;1
8;2008-03-17;2008-03-30;11;14;0;1
7;2008-03-24;2008-04-06;11;14;0;1
8;2008-04-17;2008-04-17;11;1;0;1
2;2008-04-21;2008-04-25;11;5;0;1
8;2008-04-25;2008-04-25;11;1;0;1
1;2008-04-25;2008-05-18;11;24;0;1
7;2008-05-06;2008-05-15;11;10;0;1
3;2008-05-10;2008-05-10;11;1;0;1
2;2008-05-20;2008-06-12;11;24;0;1
3;2008-06-03;2008-06-04;11;2;0;1
2;2008-06-16;2008-06-20;11;5;0;1
2;2008-07-03;2008-07-05;11;3;0;1
3;2008-07-04;2008-07-19;11;16;0;1
1;2008-07-19;2008-07-31;11;13;0;1
1;2008-08-01;2008-08-06;11;6;0;1
7;2008-08-18;2008-08-24;11;7;0;1
2;2008-08-25;2008-08-26;11;2;0;1
3;2008-08-28;2008-08-28;11;1;0;1
8;2008-09-01;2008-09-07;11;7;0;1
1;2008-09-01;2008-09-14;11;14;0;1
5;2008-09-04;2008-09-05;11;2;0;1
8;2008-09-08;2008-09-12;11;5;0;1
7;2008-09-09;2008-09-10;11;2;0;1
7;2008-10-08;2008-10-08;11;1;0;1
1;2008-10-09;2008-10-09;11;1;0;1
2;2008-10-15;2008-10-18;11;4;0;1
2;2008-11-04;2008-11-27;11;24;0;1
7;2008-11-05;2008-11-07;11;3;0;1
5;2008-11-14;2008-11-15;11;2;0;1
8;2008-11-27;2008-11-27;11;1;0;1
2;2008-11-28;2008-11-29;11;2;0;1
1;2008-11-29;2008-11-29;11;1;0;1
2;2008-12-01;2008-12-02;11;2;0;1
7;2008-12-16;2008-12-16;11;1;0;1
1;2008-12-22;2008-12-23;11;2;0;1
2;2009-01-02;2009-01-03;11;2;0;1
1;2009-01-08;2009-01-08;11;1;0;1
5;2009-01-12;2009-01-25;11;14;0;1
7;2009-01-22;2009-01-22;11;1;0;1
3;2009-01-26;2009-02-08;11;14;0;1
2;2009-02-09;2009-02-15;11;7;0;1
7;2009-02-16;2009-02-22;11;7;0;1
2;2009-02-21;2009-02-23;11;3;0;1
1;2009-02-23;2009-03-01;11;7;0;1
1;2009-03-16;2009-03-16;11;1;0;1
2;2009-03-23;2009-03-23;11;1;0;1
2;2009-04-06;2009-04-07;8;2;0;0
5;2009-04-11;2009-04-11;11;1;0;1
8;2009-04-13;2009-04-19;11;7;0;1
2;2009-04-20;2009-04-20;11;1;0;1
7;2009-04-27;2009-04-27;11;1;0;1
1;2009-04-27;2009-04-30;11;4;0;1
5;2009-04-30;2009-05-03;11;4;0;1
1;2009-05-08;2009-05-08;11;1;0;1
7;2009-05-19;2009-05-19;11;1;0;1
1;2009-06-08;2009-06-08;11;1;0;1
2;2009-06-12;2009-06-18;11;7;0;1
3;2009-06-18;2009-06-18;11;1;0;1
5;2009-07-13;2009-07-19;11;7;0;1
3;2009-08-05;2009-08-05;11;1;0;1
1;2009-08-10;2009-08-10;11;1;0;1
7;2009-08-24;2009-08-25;11;2;0;1
1;2009-09-01;2009-09-03;11;3;0;1
3;2009-09-09;2009-09-11;11;3;0;1
2;2009-09-24;2009-09-28;11;5;0;1
7;2009-10-05;2009-10-07;11;3;0;1
1;2009-10-15;2009-10-15;11;1;0;1
2;2009-10-19;2009-10-19;11;1;0;1
3;2009-10-29;2009-10-29;11;1;0;1
5;2009-10-31;2009-10-31;11;1;0;1
1;2009-11-02;2009-11-03;11;2;0;1
2;2009-11-09;2009-11-10;11;2;0;1
5;2009-11-21;2009-11-21;11;1;0;1
1;2009-12-12;2009-12-22;11;11;0;1
5;2009-12-24;2009-12-27;11;4;0;1
5;2010-01-11;2010-01-24;11;14;0;1
2;2010-01-22;2010-01-23;11;2;0;1
3;2010-01-25;2010-02-07;11;14;0;1
2;2010-02-05;2010-02-09;11;5;0;1
5;2010-02-08;2010-02-28;11;21;0;1
7;2010-02-18;2010-02-28;11;11;0;1
1;2010-02-20;2010-02-22;11;3;0;1
5;2010-03-20;2010-03-20;11;1;0;1
2;2010-03-29;2010-03-29;11;1;0;1
3;2010-04-07;2010-04-15;11;9;0;1
2;2010-04-08;2010-04-09;11;2;0;1
1;2010-04-10;2010-04-10;11;1;0;1
3;2010-04-16;2010-05-13;11;28;0;1
8;2010-04-23;2010-04-25;11;3;0;1
8;2010-04-26;2010-05-08;11;13;0;1
3;2010-05-14;2010-05-26;11;13;0;1
2;2010-05-17;2010-05-17;11;1;0;1
7;2010-05-22;2010-05-22;11;1;0;1
2;2010-06-07;2010-06-09;11;3;0;1
1;2010-07-03;2010-07-03;11;1;0;1
5;2010-07-12;2010-07-18;11;7;0;1
2;2010-07-16;2010-08-01;11;17;0;1
8;2010-07-26;2010-07-27;11;2;0;1
1;2010-08-09;2010-08-10;11;2;0;1
2;2010-08-09;2010-08-10;11;2;0;1
5;2010-08-28;2010-08-28;11;1;0;1
5;2010-09-11;2010-09-11;11;1;0;1
2;2010-09-22;2010-09-22;11;1;0;1
8;2010-09-25;2010-09-25;11;1;0;1
5;2010-10-16;2010-10-16;11;1;0;1
7;2010-10-19;2010-10-19;11;1;0;1
10;2010-11-06;2010-11-06;11;1;0;1
2;2010-11-08;2010-11-08;11;1;0;1
7;2010-11-08;2010-11-08;11;1;0;1
5;2010-11-29;2010-12-05;11;7;0;1
8;2010-12-07;2010-12-07;11;1;0;1
1;2010-12-11;2010-12-11;11;1;0;1
2;2010-12-17;2010-12-17;11;1;0;1
9;2011-01-03;2011-01-09;11;7;0;1
1;2011-01-08;2011-01-10;11;3;0;1
8;2011-01-10;2011-01-16;11;7;0;1
7;2011-01-10;2011-01-23;11;14;0;1
5;2011-01-17;2011-01-30;11;14;0;1
1;2011-01-24;2011-02-06;11;14;0;1
3;2011-01-31;2011-02-13;11;14;0;1
2;2011-02-14;2011-02-27;11;14;0;1
5;2011-03-12;2011-03-12;11;1;0;1
2;2011-03-14;2011-03-15;11;2;0;1
1;2011-03-17;2011-03-26;11;10;0;1
1;2011-03-28;2011-03-31;11;4;0;1
8;2011-04-14;2011-04-14;11;1;0;1
1;2011-04-28;2011-04-28;11;1;0;1
7;2011-05-04;2011-05-04;11;1;0;1
2;2011-05-14;2011-05-24;11;11;0;1
10;2011-05-23;2011-06-05;11;14;0;1
3;2011-05-24;2011-05-29;11;6;0;1
1;2011-05-30;2011-05-30;11;1;0;1
2;2011-06-06;2011-06-08;11;3;0;1
9;2011-06-13;2011-06-20;11;8;0;1
7;2011-06-18;2011-06-18;11;1;0;1
2;2011-07-04;2011-07-06;11;3;0;1
8;2011-07-11;2011-07-13;11;3;0;1
5;2011-07-11;2011-07-17;11;7;0;1
1;2011-07-11;2011-07-19;11;9;0;1
8;2011-07-14;2011-07-14;11;1;0;1
7;2011-07-25;2011-07-27;11;3;0;1
9;2011-08-03;2011-08-03;11;1;0;1
10;2011-08-03;2011-08-03;11;1;0;1
7;2011-08-12;2011-08-12;11;1;0;1
2;2011-08-16;2011-08-19;11;4;0;1
8;2011-08-26;2011-08-26;11;1;0;1
2;2011-09-05;2011-09-11;11;7;0;1
3;2011-09-14;2011-09-14;11;1;0;1
7;2011-09-19;2011-09-20;11;2;0;1
1;2011-09-24;2011-09-26;11;3;0;1
1;2011-10-12;2011-10-14;11;3;0;1
5;2011-10-17;2011-10-23;11;7;0;1
2;2011-10-19;2011-10-19;11;1;0;1
7;2011-10-24;2011-10-28;11;5;0;1
8;2011-11-07;2011-11-09;11;3;0;1
2;2011-11-21;2011-11-22;11;2;0;1
8;2011-12-07;2011-12-16;2;10;0;0
1;2011-12-07;2011-12-20;11;14;0;1
3;2011-12-10;2011-12-10;11;1;0;1
7;2011-12-12;2011-12-12;11;1;0;1
10;2011-12-15;2011-12-26;11;12;0;1
5;2011-12-16;2011-12-18;11;3;0;1
2;2011-12-27;2011-12-27;11;1;0;1
5;2012-01-16;2012-01-29;11;14;0;1
11;2012-01-16;2012-01-29;11;14;0;1
8;2012-01-30;2012-02-05;11;7;0;1
1;2012-01-30;2012-02-12;11;14;0;1
3;2012-01-30;2012-02-12;11;14;0;1
9;2012-02-25;2012-02-25;11;1;0;1
2;2012-03-01;2012-03-07;11;7;0;1
1;2012-03-03;2012-03-06;11;4;0;1
3;2012-03-05;2012-03-06;11;2;0;1
8;2012-03-05;2012-03-19;11;15;0;1
9;2012-03-09;2012-03-09;11;1;0;1
9;2012-04-09;2012-04-22;11;14;0;1
3;2012-04-10;2012-04-10;11;1;0;1
7;2012-04-18;2012-04-18;11;1;0;1
5;2012-04-28;2012-04-28;11;1;0;1
9;2012-05-07;2012-05-07;11;1;0;1
2;2012-05-12;2012-05-14;11;3;0;1
10;2012-05-18;2012-05-19;11;2;0;1
8;2012-05-26;2012-05-29;11;4;0;1
3;2012-05-28;2012-05-30;11;3;0;1
5;2012-07-10;2012-07-17;11;8;0;1
7;2012-07-19;2012-07-19;11;1;0;1
9;2012-07-23;2012-07-23;11;1;0;1
7;2012-08-14;2012-08-15;8;2;0;0
9;2012-08-28;2012-08-28;11;1;0;1
11;2012-08-31;2012-09-02;11;3;0;1
3;2012-09-04;2012-09-04;11;1;0;1
5;2012-09-21;2012-09-21;11;1;0;1
1;2012-09-21;2012-09-22;11;2;0;1
8;2012-09-29;2012-09-29;11;1;0;1
1;2012-10-02;2012-10-16;11;15;0;1
9;2012-10-10;2012-10-11;11;2;0;1
1;2012-10-22;2012-10-22;11;1;0;1
5;2012-10-27;2012-10-27;11;1;0;1
2;2012-11-01;2012-11-15;11;15;0;1
1;2012-11-05;2012-11-05;11;1;0;1
10;2012-11-10;2012-11-10;11;1;0;1
1;2012-12-09;2012-12-21;11;13;0;1
9;2012-12-11;2012-12-11;11;1;0;1
8;2012-12-12;2012-12-12;11;1;0;1
2;2012-12-26;2012-12-26;11;1;0;1
5;2012-12-29;2012-12-29;11;1;0;1
3;2013-01-07;2013-01-20;11;14;0;1
11;2013-01-21;2013-01-31;11;11;0;1
5;2013-01-21;2013-02-05;11;16;0;1
1;2013-01-24;2013-01-24;11;1;0;1
1;2013-02-07;2013-02-07;11;1;0;1
7;2013-02-09;2013-02-09;11;1;0;1
10;2013-02-09;2013-02-09;11;1;0;1
2;2013-02-13;2013-02-13;11;1;0;1
9;2013-02-23;2013-02-23;11;1;0;1
7;2013-03-09;2013-03-09;11;1;0;1
9;2013-03-28;2013-03-28;11;1;0;1
3;2013-03-28;2013-03-30;11;3;0;1
1;2013-03-30;2013-03-30;11;1;0;1
10;2013-04-13;2013-04-13;11;1;0;1
9;2013-04-22;2013-05-05;11;14;0;1
3;2013-05-22;2013-05-22;11;1;0;1
1;2013-06-01;2013-06-01;11;1;0;1
1;2013-06-02;2013-06-05;11;4;0;1
2;2013-06-06;2013-06-08;11;3;0;1
2;2013-06-08;2013-06-08;11;1;0;1
12;2013-06-13;2013-06-26;11;14;0;1
9;2013-06-14;2013-06-14;11;1;0;1
3;2013-06-17;2013-06-20;11;4;0;1
7;2013-06-22;2013-06-22;11;1;0;1
8;2013-06-27;2013-06-27;11;1;0;1
7;2013-07-04;2013-07-05;11;2;0;1
13;2013-07-04;2013-07-07;11;4;0;1
5;2013-07-08;2013-07-14;11;7;0;1
10;2013-07-17;2013-07-17;11;1;0;1
13;2013-07-24;2013-07-24;11;1;0;1
2;2013-07-26;2013-07-26;11;1;0;1
8;2013-07-27;2013-07-27;11;1;0;1
2;2013-08-03;2013-08-08;11;6;0;1
11;2013-08-06;2013-08-06;11;1;0;1
9;2013-08-07;2013-08-07;11;1;0;1
3;2013-08-12;2013-08-12;11;1;0;1
5;2013-08-24;2013-08-24;11;1;0;1
1;2013-08-31;2013-08-31;11;1;0;1
8;2013-09-06;2013-09-06;11;1;0;1
9;2013-09-06;2013-09-06;11;1;0;1
7;2013-09-07;2013-09-07;11;1;0;1
1;2013-09-18;2013-09-28;11;11;0;1
5;2013-09-20;2013-09-20;11;1;0;1
10;2013-09-21;2013-09-21;11;1;0;1
2;2013-09-23;2013-09-25;11;3;0;1
12;2013-10-01;2013-10-01;11;1;0;1
11;2013-10-19;2013-10-19;11;1;0;1
3;2013-10-28;2013-11-11;11;15;0;1
10;2013-11-09;2013-11-09;11;1;0;1
12;2013-11-11;2013-11-11;11;1;0;1
5;2013-11-16;2013-11-16;11;1;0;1
10;2013-11-18;2013-11-22;11;5;0;1
1;2013-11-26;2013-11-26;11;1;0;1
2;2013-12-16;2013-12-29;11;14;0;1
5;2013-12-30;2014-01-12;11;14;0;1
7;2014-01-13;2014-01-26;11;14;0;1
9;2014-01-28;2014-01-28;11;1;0;1
3;2014-02-01;2014-02-16;11;16;0;1
1;2014-02-10;2014-02-23;11;14;0;1
11;2014-02-14;2014-02-16;11;3;0;1
10;2014-02-24;2014-03-09;11;14;0;1
8;2014-03-10;2014-03-18;11;9;0;1
5;2014-03-28;2014-03-31;11;4;0;1
2;2014-03-29;2014-03-31;11;3;0;1
9;2014-04-19;2014-04-19;11;1;0;1
10;2014-04-26;2014-04-26;11;1;0;1
1;2014-05-06;2014-05-12;11;7;0;1
2;2014-05-17;2014-05-26;11;10;0;1
12;2014-05-23;2014-05-23;11;1;0;1
9;2014-05-30;2014-05-30;11;1;0;1
1;2014-06-05;2014-06-10;11;6;0;1
9;2014-06-09;2014-06-19;11;11;0;1
8;2014-06-16;2014-06-22;11;7;0;1
5;2014-06-21;2014-06-21;11;1;0;1
2;2014-07-05;2014-07-05;11;1;0;1
7;2014-07-12;2014-07-12;11;1;0;1
5;2014-07-14;2014-07-20;11;7;0;1
11;2014-07-19;2014-07-19;11;1;0;1
12;2014-07-21;2014-07-22;11;2;0;1
13;2014-07-21;2014-07-29;11;9;0;1
3;2014-07-24;2014-07-27;11;4;0;1
9;2014-07-25;2014-07-25;11;1;0;1
12;2014-08-01;2014-08-08;11;8;0;1
12;2014-08-15;2014-08-15;11;1;0;1
13;2014-09-01;2014-09-02;11;2;0;1
11;2014-09-01;2014-09-08;11;8;0;1
10;2014-09-09;2014-09-10;11;2;0;1
9;2014-09-19;2014-09-19;11;1;0;1
2;2014-09-22;2014-09-29;11;8;0;1
12;2014-09-29;2014-09-29;11;1;0;1
2;2014-10-06;2014-10-07;11;2;0;1
8;2014-10-09;2014-10-15;11;7;0;1
7;2014-10-14;2014-10-14;11;1;0;1
8;2014-10-24;2014-10-26;11;3;0;1
3;2014-10-25;2014-10-25;11;1;0;1
13;2014-11-10;2014-11-16;11;7;0;1
9;2014-11-14;2014-11-14;11;1;0;1
12;2014-11-17;2014-11-17;11;1;0;1
1;2014-11-22;2014-11-22;11;1;0;1
7;2014-11-27;2014-11-27;11;1;0;1
2;2014-12-05;2014-12-06;11;2;0;1
1;2014-12-06;2014-12-06;11;1;0;1
10;2014-12-15;2014-12-29;11;15;0;1
8;2015-01-05;2015-01-18;11;14;0;1
5;2015-01-10;2015-01-28;11;19;0;1
